,RunId,iteration,Step,width,height,density,biomass,variation,Fine,On Fire,Burned Out,Partially Burnt,Alived
0,1,0,38,100,100,0.65,5,1,6,0,6279,192,198
1,7,1,37,100,100,0.65,5,1,11,0,6335,212,223
2,3,0,38,100,100,0.65,5,3,12,0,5946,481,493
3,6,1,40,100,100,0.65,5,0,8,0,6420,52,60
4,0,0,37,100,100,0.65,5,0,4,0,6324,50,54
5,4,0,39,100,100,0.65,5,4,30,0,5837,626,656
6,2,0,40,100,100,0.65,5,2,5,0,5971,412,417
7,5,0,42,100,100,0.65,5,5,1,0,5740,704,705
8,8,1,38,100,100,0.65,5,2,4,0,6126,368,372
9,9,1,39,100,100,0.65,5,3,15,0,6020,499,514
10,11,1,43,100,100,0.65,5,5,3,0,5774,704,707
11,10,1,42,100,100,0.65,5,4,3,0,5895,620,623
12,13,2,38,100,100,0.65,5,1,2,0,6336,196,198
13,12,2,37,100,100,0.65,5,0,1,0,6522,49,50
14,15,2,39,100,100,0.65,5,3,7,0,6044,523,530
15,14,2,40,100,100,0.65,5,2,5,0,6097,394,399
16,17,2,42,100,100,0.65,5,5,4,0,5745,701,705
17,16,2,41,100,100,0.65,5,4,11,0,5840,653,664
18,19,3,39,100,100,0.65,5,1,5,0,6262,197,202
19,18,3,41,100,100,0.65,5,0,9,0,6472,47,56
20,20,3,40,100,100,0.65,5,2,4,0,6094,376,380
21,21,3,42,100,100,0.65,5,3,2,0,5933,536,538
22,22,3,43,100,100,0.65,5,4,0,0,5926,597,597
23,23,3,43,100,100,0.65,5,5,7,0,5780,687,694
24,24,4,40,100,100,0.65,5,0,4,0,6443,48,52
25,25,4,39,100,100,0.65,5,1,5,0,6274,199,204
26,27,4,40,100,100,0.65,5,3,8,0,5944,551,559
27,26,4,39,100,100,0.65,5,2,5,0,6114,377,382
28,28,4,40,100,100,0.65,5,4,13,0,5881,623,636
29,30,5,39,100,100,0.65,5,0,6,0,6495,44,50
30,29,4,42,100,100,0.65,5,5,11,0,5768,691,702
31,31,5,38,100,100,0.65,5,1,1,0,6308,205,206
32,32,5,37,100,100,0.65,5,2,9,0,6200,342,351
33,33,5,39,100,100,0.65,5,3,6,0,6054,527,533
34,34,5,40,100,100,0.65,5,4,15,0,5882,624,639
35,35,5,41,100,100,0.65,5,5,1,0,5772,720,721
36,36,6,40,100,100,0.65,5,0,2,0,6499,38,40
37,38,6,38,100,100,0.65,5,2,4,0,6074,391,395
38,37,6,39,100,100,0.65,5,1,10,0,6329,189,199
39,39,6,40,100,100,0.65,5,3,0,0,6014,525,525
40,40,6,42,100,100,0.65,5,4,4,0,5853,625,629
41,42,7,38,100,100,0.65,5,0,3,0,6507,53,56
42,43,7,40,100,100,0.65,5,1,17,0,6206,216,233
43,41,6,41,100,100,0.65,5,5,1,0,5806,742,743
44,44,7,42,100,100,0.65,5,2,10,0,5996,395,405
45,45,7,39,100,100,0.65,5,3,4,0,5884,565,569
46,47,7,42,100,100,0.65,5,5,7,0,5689,762,769
47,46,7,42,100,100,0.65,5,4,6,0,5879,661,667
48,49,8,38,100,100,0.65,5,1,5,0,6261,210,215
49,48,8,38,100,100,0.65,5,0,16,0,6438,46,62
50,50,8,39,100,100,0.65,5,2,4,0,6097,397,401
51,51,8,41,100,100,0.65,5,3,0,0,5996,528,528
52,52,8,40,100,100,0.65,5,4,4,0,5919,639,643
53,54,9,37,100,100,0.65,5,0,9,0,6442,48,57
54,53,8,43,100,100,0.65,5,5,10,0,5740,665,675
55,55,9,41,100,100,0.65,5,1,2,0,6246,200,202
56,57,9,39,100,100,0.65,5,3,7,0,5991,493,500
57,56,9,40,100,100,0.65,5,2,1,0,6157,389,390
58,58,9,40,100,100,0.65,5,4,2,0,5870,667,669
